date,label,longitude,latitude,rainfall
01-01-2008,0,77.74444258,31.91292723,1.14444232
01-01-2008,0,75.2650186,29.82575065,1.15246129
01-01-2008,0,76.92384119,32.20411571,1.158061981
01-01-2008,0,76.03848474,30.28359292,1.173222423
07-05-2012,1,77.20900031,31.10659977,0.00076
01-01-2008,0,78.79700439,30.13369162,1.1737957
18-08-2012,1,78.07099805,32.22780059,0.208
01-01-2008,0,76.78622172,33.02160096,1.178386927
01-01-2008,0,76.03834604,31.1677023,1.18177557
01-01-2008,0,77.48044794,31.47491587,1.183878422
01-01-2008,0,75.7160254,30.56490409,1.189789772
01-01-2008,0,77.63387754,31.8659657,1.198335528
01-01-2008,0,75.76781483,30.95935901,1.242712259
01-01-2008,0,76.8186708,30.08844052,1.256488681
01-01-2008,0,75.86789901,31.07855809,1.267342567
01-01-2008,0,77.81262566,31.08327618,1.283435345
01-01-2008,0,77.27437367,32.01270802,1.350057602
01-01-2008,0,76.23919085,30.84307554,1.380482674
01-01-2008,0,76.43812787,29.95156117,1.380794883
18-08-2015,1,77.34459711,32.02750223,1.3922323
01-01-2008,0,76.18278315,30.60754502,1.39892602
01-01-2008,0,77.14486835,30.26675752,1.42117548
01-01-2008,0,77.24810532,30.2951441,1.437328815
20-09-2010,1,78.28440171,31.56990037,1.4446676
01-01-2008,0,76.81042768,31.81651491,1.453508139
14-07-2013,1,76.53379877,31.67299924,1.4821272
17-08-2008,1,77.16000371,31.1000003,1.4888505
01-01-2008,0,77.44102251,30.20082989,1.506301284
01-01-2008,0,76.64343748,30.49108343,1.526275754
01-01-2008,0,76.95966027,31.93772193,1.530153513
01-01-2008,0,76.22928788,31.10352747,1.536411047
18-06-2008,1,77.24659945,32.37120083,1.5505794
01-01-2008,0,75.95571301,33.17046053,1.55602324
01-01-2008,0,75.9255262,31.68041926,1.600298166
01-01-2008,0,75.51246176,30.51065088,1.61324656
01-01-2008,0,77.36613278,30.37152533,1.618055344
04-03-2015,1,77.18029707,32.29339843,1.6374942
22-09-2008,1,77.08000297,30.7000011,1.695076
01-01-2008,0,77.49694749,30.4811273,1.712734818
01-01-2008,0,77.89638216,30.54782661,1.724267244
10-11-2013,1,77.0857017,32.36650093,0.00194
06-12-2013,1,76.1248992,32.55519671,0.239
06-12-2013,1,76.28330431,32.21079804,0.178
01-01-2008,0,75.95898078,32.46418967,1.898842096
01-01-2008,0,76.57345068,31.14431593,1.903717518
20-08-2014,1,78.13459821,31.52159938,0.469
01-01-2008,0,75.47083182,33.57906593,1.903871536
01-01-2008,0,77.23296489,30.46553727,1.928184748
01-01-2008,0,76.63884016,31.15183356,1.930610418
01-01-2008,0,76.65705168,31.84992681,1.949848413
01-01-2008,0,75.92735086,32.15036856,2.015502453
01-01-2008,0,75.60286488,33.80662633,2.024419308
01-01-2008,0,77.15516737,31.48138777,2.02994132
01-01-2008,0,75.76898883,32.42005985,2.039172173
01-01-2008,0,77.12603811,30.86672554,2.070254326
13-07-2015,1,78.03700186,32.24730024,2.0727515
01-01-2008,0,76.40693878,32.26494604,2.093074083
01-01-2008,0,75.94035631,33.76571336,2.13228488
18-08-2012,1,77.19469997,32.17970027,2.1785479
07-06-2013,1,76.79070096,31.99059871,2.2021867
01-01-2008,0,76.47146835,32.05523539,2.25382781
01-01-2008,0,75.40083217,33.92924429,2.3811028
06-09-2010,1,77.17235987,31.0990728,2.3853537
07-07-2010,1,78.07199689,32.21900279,2.4248175
13-08-2010,1,76.99099932,30.85219913,2.4301615
08-09-2015,1,76.5102012,31.69160261,0.0000428
03-10-2015,1,76.12380226,32.56119866,0.0558
08-11-2015,1,76.31939627,32.19670282,0.129
08-11-2015,1,76.76219838,31.32370002,0.593
01-01-2008,0,75.14883802,33.68338736,2.434243441
